iter	RMSE
0	2.17326712
1	2.08875569
2	2.010438064
3	1.937281435
4	1.868119513
5	1.803449432
6	1.742617014
7	1.68595504
8	1.633249899
9	1.577529422
10	1.521896454
11	1.470342269
12	1.421930242
13	1.376085893
14	1.334190101
15	1.293546267
16	1.255822756
17	1.221582879
18	1.188073491
19	1.158315392
20	1.130104054
21	1.103428991
22	1.078445706
23	1.055141493
24	1.033624548
25	1.009381657
26	0.9868677754
27	0.9657410958
28	0.9472735131
29	0.9289822513
30	0.9123055447
31	0.8969652176
32	0.8823501882
33	0.8705096474
34	0.8569095345
35	0.8431371715
36	0.8304787031
37	0.8173927535
38	0.8062297406
39	0.7947147146
40	0.7847483474
41	0.7760222211
42	0.7675556688
43	0.7566316766
44	0.749368579
45	0.7427732107
46	0.7336742014
47	0.7256628279
48	0.7170280475
49	0.709613017
50	0.7021959171
51	0.6959350988
52	0.6903503634
53	0.6843718175
54	0.6791140374
55	0.6749238772
56	0.670008779
57	0.6659046112
58	0.6619143426
59	0.6576866711
60	0.6539701917
61	0.6499210299
62	0.6467096301
63	0.6424387601
64	0.6391455628
65	0.6359573896
66	0.6332461609
67	0.6303398574
68	0.6276640722
69	0.6237788377
70	0.6205049413
71	0.6174607529
72	0.6151726539
73	0.6129288735
74	0.6108759239
75	0.6088140272
76	0.6069673653
77	0.6046274522
78	0.6029286382
79	0.6006727614
80	0.5982945179
81	0.5962043091
82	0.5943322762
83	0.5924928327
84	0.5908643346
85	0.5887041132
86	0.5873398991
87	0.5859370419
88	0.5843745979
89	0.5822836517
90	0.5810203923
91	0.5795420092
92	0.5779705873
93	0.576905605
94	0.5749482813
95	0.5738907377
96	0.5724428831
97	0.571389954
98	0.570378413
99	0.5692936023
100	0.56867544
101	0.567648929
102	0.5666731895
103	0.5651696535
104	0.564648576
105	0.5628944992
106	0.562089755
107	0.560510782
108	0.5593079957
109	0.5585782653
110	0.5575336789
111	0.5564326834
112	0.5551762286
113	0.5545990476
114	0.5535033484
115	0.5525127868
116	0.5516410937
117	0.551170357
118	0.5507492867
119	0.5499165173
120	0.548980783
121	0.5480593314
122	0.5472562939
123	0.5467924652
124	0.5453871685
125	0.5448191015
126	0.5443345229
127	0.543536893
128	0.5432172931
129	0.5427361661
130	0.5415518644
131	0.5412263088
132	0.540789008
133	0.540472635
134	0.5398478823
135	0.5392130236
136	0.5382450536
137	0.5373255607
138	0.5372822955
139	0.5366799063
140	0.5357621218
141	0.5352425599
142	0.5340485242
143	0.532914159
144	0.5321741121
145	0.5315806768
146	0.5306666069
147	0.5296564703
148	0.5289381072
149	0.5283211106
150	0.5273955303
151	0.5268979888
152	0.5267113592
153	0.5259338588
154	0.5259311019
155	0.5252581748
156	0.5245164427
157	0.5241788615
158	0.5239200126
159	0.5232253499
160	0.5225192217
161	0.5220284484
162	0.5212904295
163	0.5207876427
164	0.520017974
165	0.5196503679
166	0.5188878415
167	0.5182118952
168	0.5175491125
169	0.5171207694
170	0.5163257463
171	0.515640987
172	0.5149776704
173	0.5145117598
174	0.5141887173
175	0.5136122773
176	0.5131062163
177	0.5126702463
178	0.5123953287
179	0.5120121138
180	0.5115196998
181	0.5107104898
182	0.5104093724
183	0.5102416684
184	0.5098335333
185	0.5096156301
186	0.5089522639
187	0.5086178704
188	0.5081712125
189	0.5076070998
190	0.5075030807
191	0.5069582055
192	0.5069275276
193	0.5064146203
194	0.5060279461
195	0.5057032058
196	0.5052436235
197	0.5048446339
198	0.5046821346
199	0.504307871
200	0.5041383367
201	0.5034094455
202	0.5029009746
203	0.5023596365
204	0.5016542928
205	0.5011800369
206	0.5007468649
207	0.5004240108
208	0.5000888329
209	0.4995109066
210	0.4992256702
211	0.4985624315
212	0.4976594937
213	0.4972143558
214	0.496749817
215	0.4963261472
216	0.4959526099
217	0.4954782725
218	0.4953988192
219	0.4949300708
220	0.4947182169
221	0.4942462541
222	0.4939782807
223	0.4935828414
224	0.4932138194
225	0.4926309481
226	0.4922725268
227	0.4918815521
228	0.491609155
229	0.4911677119
230	0.4909976972
231	0.4909655862
232	0.4908018747
233	0.4904164837
234	0.4901513882
235	0.4897666103
236	0.4894483094
237	0.4891087341
238	0.4888081604
239	0.4884691289
240	0.4881134674
241	0.4878014756
242	0.4875387622
243	0.4873333833
244	0.4870926679
245	0.4869879127
246	0.4869612276
247	0.4867886643
248	0.4864744753
249	0.4859533133
250	0.4856556425
251	0.4853498252
252	0.4851055895
253	0.4849540207
254	0.4846578795
255	0.4843087171
256	0.4837885372
257	0.4836009238
258	0.483469082
259	0.4828715074
260	0.4826215012
261	0.4825173779
262	0.4824263048
263	0.4821006338
264	0.4820099577
265	0.4818462442
266	0.4816250447
267	0.4810875822
268	0.4807503617
269	0.4805249127
270	0.4801368508
271	0.4797672761
272	0.4794691081
273	0.479274712
274	0.4792442657
275	0.4791616396
276	0.4790217137
277	0.4788082337
278	0.4787448339
279	0.4784838838
280	0.4784260979
281	0.4779205547
282	0.4776879488
283	0.4773810082
284	0.4772600438
285	0.4770092037
286	0.4768172785
287	0.47631279
288	0.4760367611
289	0.4757591616
290	0.4754439988
291	0.4752595219
292	0.474990171
293	0.4749830105
294	0.474882203
295	0.4748181474
296	0.4745306134
297	0.4742770114
298	0.4742295075
299	0.4740803984
300	0.4736484858
301	0.4735894983
302	0.4731683771
303	0.473102352
304	0.472957643
305	0.4727495052
306	0.4725067784
307	0.4722447572
308	0.4719281103
309	0.4717491594
310	0.4717171411
311	0.471417294
312	0.4713572873
313	0.470964252
314	0.4705475848
315	0.4704593452
316	0.4700798494
317	0.4700310756
318	0.4698689552
319	0.4698178358
320	0.4695611592
321	0.4693339998
322	0.4689232214
323	0.4687924687
324	0.4687721532
325	0.4685478435
326	0.4683444039
327	0.4681563504
328	0.4680553656
329	0.4678330565
330	0.4676356213
331	0.4675136398
332	0.4674803943
333	0.4673702742
334	0.4669483554
335	0.4669161409
336	0.466683506
337	0.4663399345
338	0.466319591
339	0.4661578323
340	0.4661072861
341	0.4659056256
342	0.465857604
343	0.4657892006
344	0.465661282
345	0.4656213818
346	0.465312943
347	0.4652896632
348	0.4649606042
349	0.464748892
350	0.4644432461
351	0.4643011348
352	0.4641179585
353	0.4639871319
354	0.4639665952
355	0.4639056562
356	0.4636239839
357	0.463555838
358	0.4632258894
359	0.4628964055
360	0.4626798064
361	0.4624257804
362	0.462308931
363	0.462113008
364	0.4620940827
365	0.4617952269
366	0.4617549305
367	0.4615520173
368	0.461526372
369	0.4614055613
370	0.4612323203
371	0.4610349566
372	0.4608134474
373	0.4606379405
374	0.4606110046
375	0.4603802883
376	0.4600708783
377	0.4599073429
378	0.4596165595
379	0.4595229984
380	0.4595044466
381	0.4594553854
382	0.4591530765
383	0.4588573553
384	0.4588344535
385	0.4588234631
386	0.4587316731
387	0.4584587151
388	0.4581915834
389	0.4579549397
390	0.4577548076
391	0.4577401308
392	0.4576648813
393	0.4575212087
394	0.4575132051
395	0.4575028984
396	0.457304157
397	0.4570399483
398	0.4569526217
399	0.4566176956
400	0.4564071109
401	0.4563608607
402	0.4561364955
403	0.4560654189
404	0.4560555085
405	0.4559919549
406	0.4559308104
407	0.4556885066
408	0.4556697793
409	0.4555687544
410	0.4553611873
411	0.4553458797
412	0.4551658122
413	0.4549604312
414	0.4548301059
415	0.454609516
416	0.4543816993
417	0.4541782538
418	0.4540021026
419	0.4537351588
420	0.4536732772
421	0.4535821761
422	0.4534225102
423	0.453231664
424	0.4531223615
425	0.4528524418
426	0.4526585878
427	0.4524564968
428	0.4524130323
429	0.4522977265
430	0.4521783667
431	0.4521687162
432	0.4520982502
433	0.4520320493
434	0.451849428
435	0.4516661338
436	0.4516349589
437	0.4514086216
438	0.4511611775
439	0.4511054779
440	0.4509808714
441	0.4508877855
442	0.4507754906
443	0.4507676939
444	0.4506645801
445	0.4504421217
446	0.4504214487
447	0.4503876792
448	0.4501326684
449	0.4499375209
450	0.4498466067
451	0.4497607349
452	0.4494878886
453	0.4493131888
454	0.44919157
455	0.449036135
456	0.4487690413
457	0.4487202162
458	0.4485936912
459	0.4483956949
460	0.4481506925
461	0.4478380409
462	0.4476276731
463	0.4474785939
464	0.4474187031
465	0.4473525434
466	0.4470875636
467	0.4469263874
468	0.446912432
469	0.4467719931
470	0.4466238399
471	0.4464523061
472	0.4463666671
473	0.4462892966
474	0.4461529762
475	0.4458879032
476	0.4458120421
477	0.4456447727
478	0.4454011624
479	0.4452036612
480	0.445198302
481	0.4451096734
482	0.4449747747
483	0.444786049
484	0.4446715501
485	0.4445512973
486	0.4443370246
487	0.4441705455
488	0.4440599778
489	0.4440518564
490	0.4438905747
491	0.4437801571
492	0.4435948657
493	0.443450634
494	0.4432535114
495	0.4432309344
496	0.4430401234
497	0.4428515494
498	0.4426445783
499	0.4424788399
500	0.4424463411
501	0.4422745904
502	0.4422331308
503	0.4421941246
504	0.4420824852
505	0.4419650889
506	0.4419113645
507	0.4417262326
508	0.4415822494
509	0.4413998706
510	0.4413137735
511	0.4411775482
512	0.4411596902
513	0.441000572
514	0.4409294585
515	0.4409257414
516	0.4407757533
517	0.4406390254
518	0.4404748425
519	0.440455284
520	0.440320072
521	0.4401312248
522	0.440085829
523	0.4399932989
524	0.4399750405
525	0.4399419723
526	0.4397116585
527	0.4397029746
528	0.4395300875
529	0.4395187796
530	0.4394870962
531	0.4393145027
532	0.4391637928
533	0.4389456939
534	0.4389416562
535	0.4388354778
536	0.4388178098
537	0.4386091106
538	0.4384121406
539	0.4383919499
540	0.4382750079
541	0.4381180329
542	0.4378800543
543	0.4377726015
544	0.4376996075
545	0.4376715186
546	0.4375931118
547	0.4374767681
548	0.4373064389
549	0.4372227614
550	0.4372075147
551	0.4370495149
552	0.4370071423
553	0.4370030847
554	0.4369546815
555	0.4368393012
556	0.4368183363
557	0.4366564802
558	0.4365889257
559	0.4365581978
560	0.436425831
561	0.4362350819
562	0.436186749
563	0.4360591612
564	0.4359431889
565	0.4358296648
566	0.4357811515
567	0.4356195224
568	0.4355136511
569	0.4354622648
570	0.4353524374
571	0.4351868642
572	0.4351796036
573	0.4350655448
574	0.4349194331
575	0.4347488834
576	0.434545802
577	0.4345134388
578	0.4345117808
579	0.4344279879
580	0.4342929503
581	0.4342483833
582	0.4341898248
583	0.4340503767
584	0.4339276954
585	0.4337190202
586	0.4336378915
587	0.4336343791
588	0.4335808766
589	0.4334831431
590	0.4333598283
591	0.433298148
592	0.433214007
593	0.4331626304
594	0.4329693385
595	0.4328106986
596	0.4327001642
597	0.432629094
598	0.4325819827
599	0.4324514845
600	0.43245063
601	0.4323246105
602	0.4322282394
603	0.4321668584
604	0.4321601697
605	0.4320447488
606	0.4320064591
607	0.4319554956
608	0.431768836
609	0.4316577281
610	0.4315331429
611	0.4314056002
612	0.4312862639
613	0.4311566239
614	0.4309773198
615	0.4308024686
616	0.430675329
617	0.430582726
618	0.4304846527
619	0.4304373001
620	0.4302961353
621	0.4301499387
622	0.4300694998
623	0.4300078325
624	0.4298206083
625	0.4297462016
626	0.4296694837
627	0.4295139426
628	0.4294693025
629	0.4294120371
630	0.4292160719
631	0.4290770095
632	0.4288852369
633	0.428866326
634	0.4288261684
635	0.4287559139
636	0.4285457349
637	0.4284415015
638	0.4283384897
639	0.4281745213
640	0.4280523284
641	0.4279850087
642	0.4279451175
643	0.4278943422
644	0.4276840021
645	0.4276425051
646	0.4274607925
647	0.4273629622
648	0.427272291
649	0.4271702472
650	0.4270450567
651	0.4268715716
652	0.4267707328
653	0.4267281189
654	0.4266557303
655	0.4266188573
656	0.4265390409
657	0.4264880116
658	0.4264114781
659	0.4263493737
660	0.4262346097
661	0.4262048681
662	0.4261287262
663	0.4260924774
664	0.4259037326
665	0.425731902
666	0.4256581812
667	0.4255610478
668	0.4254545254
669	0.4253009522
670	0.4252929668
671	0.4251892867
672	0.4251656411
673	0.4251085016
674	0.4250946409
675	0.4250902857
676	0.4250143793
677	0.4249452123
678	0.4248485369
679	0.4247518353
680	0.424671774
681	0.4246537281
682	0.4244652721
683	0.424292672
684	0.4242853573
685	0.4242160999
686	0.4241876345
687	0.4241043743
688	0.4240963631
689	0.4239852164
690	0.4238641391
691	0.4237392406
692	0.4237162594
693	0.4236626206
694	0.4236325703
695	0.4235318456
696	0.4233593347
697	0.423073659
698	0.4229288245
699	0.4228145899
700	0.4227601885
701	0.4225740315
702	0.4224218091
703	0.4222305643
704	0.422106761
705	0.4220499918
706	0.4219006196
707	0.4218841989
708	0.4218792548
709	0.4218687444
710	0.4218595915
711	0.4217739305
712	0.4216892
713	0.4215421279
714	0.4214812488
715	0.4213821757
716	0.4213181818
717	0.4213138523
718	0.4212895664
719	0.4212157213
720	0.4211485224
721	0.4210146873
722	0.4209489776
723	0.4208484296
724	0.4208342433
725	0.4207626016
726	0.4207228682
727	0.4205699261
728	0.4204712162
729	0.4204062496
730	0.4202362334
731	0.4201093819
732	0.4199789844
733	0.4198947153
734	0.4198054052
735	0.4197688639
736	0.4197409091
737	0.4195910339
738	0.4195729616
739	0.4195438723
740	0.4194865341
741	0.4194673532
742	0.4194624579
743	0.4194122497
744	0.4193477541
745	0.4192686761
746	0.4191701121
747	0.4191112547
748	0.4190497002
749	0.4190026328
750	0.4188513353
751	0.4188246393
752	0.418710148
753	0.4186036885
754	0.4185709221
755	0.4185355446
756	0.418435926
757	0.418353311
758	0.4182960564
759	0.4182245954
760	0.4181193167
761	0.4180126985
762	0.4178951832
763	0.4178059637
764	0.4177306593
765	0.4175698088
766	0.4173928477
767	0.4173871495
768	0.4173176012
769	0.4172517955
770	0.4172031373
771	0.4170818259
772	0.4170443468
773	0.4169364422
774	0.4169115703
775	0.4168406172
776	0.4167802038
777	0.4165373785
778	0.4163852181
779	0.4163239802
780	0.4162664668
781	0.4161235816
782	0.4160527804
783	0.4159731176
784	0.4159184453
785	0.4158801727
786	0.4158207621
787	0.4157296239
788	0.4157229041
789	0.415718698
790	0.4156843516
791	0.4155151224
792	0.4154749885
793	0.4153925711
794	0.4153117755
795	0.4152353126
796	0.4151825907
797	0.415082246
798	0.4150126544
799	0.4149101798
800	0.4148665648
801	0.4146939778
802	0.4145703314
803	0.4145607542
804	0.4145072193
805	0.4144811594
806	0.414424645
807	0.4143412335
808	0.4142798839
809	0.4141571088
810	0.414026986
811	0.4139335298
812	0.4139019691
813	0.4137407499
814	0.4136896278
815	0.4135732924
816	0.4135109886
817	0.4134379899
818	0.4134270438
819	0.4133639032
820	0.4133437906
821	0.4132969
822	0.413239798
823	0.4132252704
824	0.4131829497
825	0.4131072061
826	0.4131009384
827	0.4130715085
828	0.4129923975
829	0.4129516124
830	0.4128586973
831	0.4127386122
832	0.4127134015
833	0.4126180809
834	0.4125251051
835	0.4124496554
836	0.4124148349
837	0.4123158779
838	0.4122111715
839	0.4121497467
840	0.4119266128
841	0.4118180646
842	0.4116715701
843	0.4115335135
844	0.411484073
845	0.4114326345
846	0.4113560363
847	0.411246069
848	0.4111530915
849	0.4110800363
850	0.4110486091
851	0.4109764518
852	0.4108677576
853	0.4107850729
854	0.4106459549
855	0.410606396
856	0.4105665161
857	0.4105099115
858	0.4103491666
859	0.410346353
860	0.4103037315
861	0.4101805357
862	0.410162871
863	0.4100885924
864	0.4099770281
865	0.4098691768
866	0.4097952364
867	0.4096960657
868	0.4096324685
869	0.4095123967
870	0.4094290103
871	0.4093940727
872	0.4093090247
873	0.4091594921
874	0.409016437
875	0.4089303413
876	0.4088618877
877	0.4088599362
878	0.4087325318
879	0.4086056798
880	0.4085630532
881	0.4084198488
882	0.4084055197
883	0.4083957848
884	0.4083022769
885	0.4082572093
886	0.4081973211
887	0.4081875513
888	0.4079711424
889	0.407933797
890	0.4078527512
891	0.4078153773
892	0.407693764
893	0.4076423985
894	0.4075578522
895	0.4075189863
896	0.4074649882
897	0.407454143
898	0.4073876568
899	0.4073357262
