iter	Passed	Remaining
0	7	7044
1	11	5635
2	16	5382
3	20	5084
4	24	4874
5	29	4837
6	33	4690
7	37	4598
8	40	4461
9	44	4450
10	48	4356
11	52	4345
12	56	4323
13	60	4250
14	65	4298
15	69	4244
16	73	4234
17	76	4183
18	80	4134
19	83	4105
20	87	4091
21	91	4073
22	95	4074
23	99	4061
24	104	4064
25	108	4057
26	112	4064
27	116	4046
28	120	4044
29	125	4044
30	128	4023
31	134	4060
32	138	4072
33	144	4106
34	148	4095
35	153	4108
36	157	4102
37	161	4096
38	165	4087
39	170	4083
40	174	4077
41	178	4068
42	182	4072
43	187	4064
44	191	4071
45	195	4052
46	199	4055
47	203	4043
48	208	4040
49	212	4030
50	216	4033
51	221	4033
52	226	4053
53	231	4060
54	236	4058
55	241	4063
56	245	4055
57	249	4046
58	253	4036
59	257	4033
60	261	4027
61	266	4035
62	270	4023
63	274	4020
64	279	4022
65	284	4021
66	288	4021
67	294	4030
68	298	4029
69	302	4024
70	307	4026
71	312	4022
72	317	4027
73	323	4044
74	328	4048
75	332	4047
76	336	4032
77	340	4025
78	344	4017
79	348	4011
80	353	4006
81	356	3995
82	361	3998
83	366	3996
84	371	3994
85	375	3993
86	381	4004
87	385	3998
88	390	4002
89	396	4013
90	403	4027
91	407	4023
92	412	4021
93	417	4023
94	422	4026
95	428	4030
96	433	4037
97	438	4033
98	443	4039
99	449	4042
100	453	4040
101	458	4038
102	463	4040
103	467	4030
104	472	4024
105	477	4024
106	482	4028
107	488	4030
108	494	4042
109	499	4041
110	504	4043
111	509	4039
112	515	4049
113	520	4042
114	526	4050
115	531	4051
116	537	4057
117	542	4056
118	549	4068
119	555	4074
120	561	4076
121	566	4074
122	571	4076
123	576	4074
124	582	4075
125	587	4074
126	592	4074
127	597	4069
128	602	4070
129	608	4070
130	613	4068
131	618	4063
132	623	4062
133	627	4055
134	632	4053
135	638	4058
136	644	4058
137	648	4051
138	654	4053
139	659	4049
140	664	4047
141	669	4044
142	674	4042
143	679	4041
144	686	4046
145	690	4040
146	697	4046
147	703	4050
148	708	4048
149	714	4051
150	720	4053
151	726	4054
152	732	4056
153	738	4054
154	743	4052
155	744	4029
156	749	4026
157	756	4032
158	762	4032
159	767	4028
160	771	4020
161	776	4015
162	782	4016
163	788	4016
164	792	4012
165	797	4004
166	802	4002
167	806	3996
168	812	3996
169	818	3994
170	824	3996
171	828	3990
172	834	3989
173	840	3990
174	847	3994
175	852	3993
176	857	3988
177	862	3983
178	868	3981
179	872	3976
180	877	3969
181	882	3967
182	888	3966
183	892	3960
184	898	3956
185	903	3954
186	908	3951
187	913	3944
188	918	3942
189	924	3940
190	928	3932
191	933	3927
192	938	3923
193	943	3921
194	949	3918
195	954	3913
196	959	3911
197	964	3908
198	970	3907
199	975	3903
200	980	3896
201	985	3894
202	991	3894
203	998	3894
204	1003	3890
205	1008	3886
206	1014	3885
207	1020	3885
208	1026	3884
209	1032	3883
210	1038	3881
211	1043	3878
212	1047	3871
213	1054	3871
214	1059	3870
215	1064	3864
216	1069	3858
217	1075	3857
218	1081	3857
219	1087	3856
220	1095	3860
221	1100	3855
222	1105	3851
223	1110	3845
224	1115	3842
225	1122	3845
226	1128	3842
227	1134	3840
228	1137	3829
229	1142	3824
230	1147	3819
231	1153	3817
232	1158	3814
233	1164	3812
234	1169	3806
235	1175	3805
236	1182	3805
237	1188	3805
238	1192	3797
239	1197	3793
240	1204	3792
241	1210	3792
242	1216	3788
243	1222	3786
244	1228	3784
245	1233	3779
246	1239	3778
247	1245	3777
248	1250	3772
249	1255	3767
250	1260	3762
251	1265	3757
252	1272	3756
253	1278	3755
254	1284	3751
255	1290	3749
256	1295	3746
257	1300	3741
258	1305	3735
259	1310	3731
260	1316	3726
261	1323	3728
262	1330	3727
263	1334	3719
264	1340	3718
265	1345	3713
266	1352	3711
267	1356	3704
268	1361	3698
269	1365	3691
270	1369	3685
271	1376	3684
272	1382	3680
273	1387	3677
274	1394	3675
275	1400	3672
276	1407	3672
277	1413	3670
278	1419	3668
279	1424	3663
280	1431	3662
281	1436	3657
282	1441	3653
283	1446	3647
284	1451	3642
285	1457	3639
286	1462	3634
287	1469	3631
288	1474	3628
289	1481	3626
290	1487	3625
291	1493	3620
292	1499	3618
293	1504	3612
294	1508	3606
295	1513	3600
296	1518	3594
297	1525	3592
298	1531	3590
299	1537	3587
300	1543	3584
301	1549	3582
302	1554	3576
303	1560	3572
304	1565	3568
305	1569	3560
306	1575	3556
307	1581	3554
308	1588	3551
309	1592	3545
310	1597	3539
311	1603	3536
312	1609	3532
313	1615	3528
314	1621	3525
315	1626	3519
316	1632	3517
317	1636	3510
318	1641	3503
319	1647	3500
320	1652	3494
321	1657	3489
322	1663	3486
323	1669	3482
324	1674	3478
325	1679	3473
326	1686	3470
327	1690	3463
328	1696	3460
329	1701	3454
330	1707	3450
331	1714	3449
332	1720	3446
333	1726	3442
334	1731	3437
335	1738	3434
336	1743	3429
337	1748	3424
338	1753	3419
339	1757	3412
340	1763	3407
341	1769	3403
342	1774	3399
343	1780	3396
344	1786	3390
345	1791	3386
346	1797	3382
347	1802	3376
348	1807	3371
349	1812	3365
350	1818	3361
351	1823	3356
352	1827	3350
353	1833	3346
354	1838	3340
355	1843	3335
356	1848	3329
357	1854	3325
358	1859	3320
359	1864	3314
360	1870	3310
361	1874	3304
362	1880	3299
363	1884	3292
364	1890	3288
365	1895	3283
366	1901	3280
367	1906	3273
368	1912	3270
369	1917	3265
370	1922	3260
371	1929	3257
372	1935	3252
373	1939	3246
374	1944	3241
375	1950	3237
376	1956	3232
377	1961	3227
378	1965	3220
379	1971	3216
380	1976	3211
381	1981	3205
382	1986	3200
383	1992	3196
384	1998	3192
385	2005	3189
386	2010	3184
387	2017	3181
388	2022	3176
389	2029	3173
390	2034	3169
391	2039	3162
392	2045	3158
393	2051	3155
394	2057	3151
395	2063	3146
396	2068	3141
397	2074	3137
398	2079	3132
399	2087	3131
400	2092	3125
401	2098	3120
402	2104	3116
403	2110	3112
404	2114	3106
405	2120	3103
406	2125	3096
407	2132	3093
408	2137	3089
409	2142	3083
410	2149	3079
411	2153	3073
412	2158	3068
413	2165	3065
414	2171	3060
415	2176	3056
416	2184	3053
417	2187	3045
418	2193	3040
419	2198	3035
420	2202	3028
421	2208	3024
422	2213	3019
423	2220	3016
424	2225	3011
425	2230	3005
426	2235	2999
427	2241	2995
428	2247	2991
429	2252	2986
430	2258	2982
431	2264	2977
432	2270	2972
433	2277	2969
434	2281	2963
435	2287	2958
436	2292	2953
437	2298	2949
438	2303	2944
439	2309	2939
440	2316	2936
441	2322	2931
442	2328	2927
443	2333	2921
444	2339	2917
445	2344	2912
446	2350	2907
447	2356	2903
448	2361	2898
449	2367	2893
450	2371	2887
451	2378	2883
452	2383	2878
453	2388	2873
454	2393	2867
455	2398	2861
456	2403	2855
457	2408	2849
458	2413	2844
459	2417	2838
460	2423	2833
461	2428	2827
462	2434	2823
463	2440	2818
464	2445	2813
465	2450	2808
466	2456	2803
467	2461	2797
468	2466	2792
469	2472	2788
470	2478	2783
471	2483	2778
472	2488	2772
473	2495	2768
474	2500	2763
475	2506	2759
476	2513	2755
477	2520	2752
478	2524	2746
479	2531	2742
480	2537	2737
481	2540	2730
482	2546	2725
483	2550	2719
484	2555	2713
485	2558	2706
486	2564	2701
487	2568	2695
488	2575	2691
489	2580	2685
490	2586	2681
491	2591	2675
492	2597	2671
493	2602	2666
494	2608	2660
495	2614	2656
496	2618	2650
497	2623	2644
498	2628	2638
499	2633	2633
500	2638	2628
501	2645	2624
502	2651	2619
503	2656	2614
504	2661	2609
505	2667	2604
506	2672	2598
507	2678	2593
508	2683	2588
509	2688	2583
510	2694	2578
511	2699	2573
512	2705	2568
513	2711	2563
514	2716	2558
515	2722	2553
516	2727	2548
517	2734	2544
518	2740	2539
519	2745	2534
520	2751	2530
521	2757	2525
522	2763	2520
523	2768	2514
524	2773	2508
525	2778	2504
526	2784	2498
527	2789	2493
528	2795	2488
529	2800	2483
530	2806	2478
531	2813	2474
532	2818	2469
533	2823	2464
534	2830	2460
535	2835	2454
536	2841	2449
537	2847	2445
538	2853	2440
539	2858	2435
540	2863	2429
541	2869	2424
542	2875	2419
543	2880	2414
544	2885	2409
545	2890	2403
546	2896	2398
547	2901	2393
548	2906	2387
549	2912	2383
550	2917	2377
551	2924	2373
552	2930	2368
553	2935	2363
554	2940	2357
555	2945	2351
556	2950	2346
557	2955	2340
558	2959	2334
559	2964	2329
560	2970	2324
561	2975	2319
562	2980	2313
563	2985	2307
564	2989	2301
565	2994	2296
566	2999	2290
567	3005	2285
568	3011	2280
569	3017	2276
570	3022	2270
571	3028	2266
572	3033	2260
573	3037	2254
574	3043	2249
575	3049	2244
576	3054	2239
577	3060	2234
578	3065	2229
579	3070	2223
580	3077	2219
581	3083	2214
582	3089	2209
583	3093	2203
584	3101	2200
585	3106	2194
586	3109	2187
587	3113	2181
588	3118	2176
589	3124	2171
590	3130	2166
591	3135	2160
592	3140	2155
593	3143	2148
594	3145	2140
595	3150	2135
596	3156	2130
597	3161	2125
598	3168	2121
599	3172	2115
600	3178	2110
601	3184	2105
602	3190	2100
603	3195	2095
604	3202	2090
605	3207	2085
606	3211	2079
607	3217	2074
608	3224	2070
609	3229	2064
610	3235	2059
611	3240	2054
612	3247	2050
613	3253	2045
614	3258	2040
615	3261	2033
616	3267	2028
617	3273	2023
618	3279	2018
619	3286	2014
620	3293	2009
621	3300	2005
622	3304	1999
623	3309	1994
624	3315	1989
625	3319	1983
626	3325	1978
627	3331	1973
628	3337	1968
629	3342	1962
630	3347	1957
631	3353	1952
632	3359	1947
633	3365	1942
634	3370	1937
635	3375	1931
636	3381	1927
637	3387	1921
638	3393	1916
639	3399	1911
640	3403	1906
641	3408	1900
642	3413	1895
643	3418	1889
644	3425	1885
645	3432	1880
646	3437	1875
647	3443	1870
648	3448	1865
649	3453	1859
650	3460	1854
651	3466	1850
652	3472	1845
653	3479	1840
654	3483	1835
655	3490	1830
656	3495	1825
657	3501	1819
658	3507	1815
659	3513	1809
660	3519	1804
661	3525	1799
662	3530	1794
663	3536	1789
664	3541	1783
665	3547	1778
666	3552	1773
667	3557	1768
668	3562	1762
669	3568	1757
670	3574	1752
671	3579	1747
672	3584	1741
673	3589	1736
674	3595	1731
675	3601	1726
676	3606	1720
677	3613	1715
678	3618	1710
679	3624	1705
680	3630	1700
681	3635	1695
682	3640	1689
683	3646	1684
684	3651	1679
685	3657	1674
686	3663	1669
687	3669	1664
688	3673	1658
689	3678	1652
690	3682	1646
691	3687	1641
692	3692	1635
693	3696	1630
694	3702	1624
695	3707	1619
696	3714	1614
697	3719	1609
698	3724	1603
699	3730	1598
700	3735	1593
701	3741	1588
702	3746	1582
703	3750	1576
704	3757	1572
705	3763	1567
706	3768	1561
707	3773	1556
708	3778	1550
709	3782	1545
710	3787	1539
711	3792	1534
712	3798	1529
713	3804	1524
714	3808	1518
715	3815	1513
716	3821	1508
717	3825	1502
718	3831	1497
719	3836	1492
720	3842	1487
721	3848	1481
722	3853	1476
723	3859	1471
724	3864	1466
725	3869	1460
726	3876	1455
727	3882	1450
728	3888	1445
729	3894	1440
730	3899	1434
731	3904	1429
732	3909	1424
733	3915	1419
734	3921	1413
735	3928	1409
736	3933	1403
737	3938	1398
738	3945	1393
739	3951	1388
740	3958	1383
741	3963	1378
742	3970	1373
743	3975	1367
744	3981	1362
745	3986	1357
746	3991	1351
747	3998	1347
748	4004	1341
749	4010	1336
750	4015	1331
751	4020	1325
752	4023	1319
753	4029	1314
754	4035	1309
755	4040	1304
756	4046	1298
757	4051	1293
758	4057	1288
759	4064	1283
760	4068	1277
761	4071	1271
762	4077	1266
763	4083	1261
764	4088	1256
765	4094	1250
766	4099	1245
767	4105	1240
768	4111	1235
769	4117	1229
770	4123	1224
771	4129	1219
772	4136	1214
773	4140	1209
774	4146	1203
775	4151	1198
776	4158	1193
777	4164	1188
778	4170	1183
779	4175	1177
780	4180	1172
781	4186	1167
782	4190	1161
783	4197	1156
784	4202	1151
785	4207	1145
786	4213	1140
787	4219	1135
788	4225	1129
789	4229	1124
790	4235	1119
791	4240	1113
792	4245	1108
793	4251	1103
794	4255	1097
795	4259	1091
796	4264	1086
797	4270	1080
798	4276	1075
799	4282	1070
800	4288	1065
801	4294	1060
802	4299	1054
803	4305	1049
804	4310	1044
805	4316	1038
806	4321	1033
807	4326	1028
808	4332	1022
809	4337	1017
810	4341	1011
811	4347	1006
812	4353	1001
813	4359	996
814	4364	990
815	4369	985
816	4375	980
817	4381	974
818	4386	969
819	4392	964
820	4397	958
821	4403	953
822	4409	948
823	4415	943
824	4419	937
825	4424	932
826	4430	926
827	4435	921
828	4440	915
829	4446	910
830	4452	905
831	4458	900
832	4464	894
833	4469	889
834	4473	883
835	4480	878
836	4486	873
837	4493	868
838	4499	863
839	4505	858
840	4510	852
841	4516	847
842	4521	842
843	4526	836
844	4529	830
845	4535	825
846	4540	820
847	4546	814
848	4552	809
849	4557	804
850	4563	799
851	4570	793
852	4576	788
853	4582	783
854	4587	777
855	4592	772
856	4598	767
857	4603	761
858	4609	756
859	4615	751
860	4620	745
861	4626	740
862	4632	735
863	4638	730
864	4643	724
865	4649	719
866	4655	714
867	4661	708
868	4667	703
869	4673	698
870	4679	693
871	4685	687
872	4691	682
873	4696	677
874	4701	671
875	4707	666
876	4711	660
877	4716	655
878	4721	649
879	4728	644
880	4733	639
881	4739	634
882	4744	628
883	4749	623
884	4755	617
885	4761	612
886	4766	607
887	4773	602
888	4778	596
889	4785	591
890	4789	585
891	4795	580
892	4802	575
893	4808	570
894	4813	564
895	4819	559
896	4824	554
897	4830	548
898	4837	543
899	4844	538
900	4849	532
901	4855	527
902	4861	522
903	4866	516
904	4872	511
905	4878	506
906	4883	500
907	4888	495
908	4894	490
909	4900	484
910	4905	479
911	4910	473
912	4917	468
913	4922	463
914	4928	457
915	4935	452
916	4940	447
917	4946	441
918	4950	436
919	4956	430
920	4961	425
921	4967	420
922	4972	414
923	4979	409
924	4983	404
925	4989	398
926	4995	393
927	5000	387
928	5006	382
929	5012	377
930	5017	371
931	5023	366
932	5029	361
933	5036	355
934	5041	350
935	5046	345
936	5053	339
937	5059	334
938	5066	329
939	5071	323
940	5077	318
941	5082	312
942	5087	307
943	5093	302
944	5099	296
945	5103	291
946	5109	285
947	5115	280
948	5121	275
949	5127	269
950	5133	264
951	5138	259
952	5144	253
953	5150	248
954	5155	242
955	5161	237
956	5166	232
957	5172	226
